antecedents,consequents
"frozenset({'tomato', 'eggplant'})",frozenset({'bean'})
"frozenset({'bean', 'eggplant'})",frozenset({'tomato'})
"frozenset({'bean', 'okra'})",frozenset({'fish sauce'})
"frozenset({'fish sauce', 'okra'})",frozenset({'bean'})
"frozenset({'bean', 'spinach'})",frozenset({'fish sauce'})
"frozenset({'fish sauce', 'spinach'})",frozenset({'bean'})
"frozenset({'tomato', 'bean'})",frozenset({'fish sauce'})
"frozenset({'fish sauce', 'bean'})",frozenset({'tomato'})
"frozenset({'radish', 'bean'})",frozenset({'okra'})
"frozenset({'radish', 'okra'})",frozenset({'bean'})
frozenset({'radish'}),"frozenset({'bean', 'okra'})"
"frozenset({'bean', 'okra'})",frozenset({'spinach'})
"frozenset({'spinach', 'okra'})",frozenset({'bean'})
"frozenset({'bean', 'spinach'})",frozenset({'okra'})
"frozenset({'tamarind', 'bean'})",frozenset({'okra'})
"frozenset({'tamarind', 'okra'})",frozenset({'bean'})
"frozenset({'tomato', 'bean'})",frozenset({'okra'})
"frozenset({'tomato', 'okra'})",frozenset({'bean'})
"frozenset({'bean', 'okra'})",frozenset({'tomato'})
frozenset({'okra'}),"frozenset({'tomato', 'bean'})"
"frozenset({'radish', 'tomato'})",frozenset({'bean'})
"frozenset({'radish', 'bean'})",frozenset({'tomato'})
frozenset({'radish'}),"frozenset({'tomato', 'bean'})"
"frozenset({'tomato', 'spinach'})",frozenset({'bean'})
"frozenset({'bean', 'spinach'})",frozenset({'tomato'})
"frozenset({'tamarind', 'tomato'})",frozenset({'bean'})
"frozenset({'tamarind', 'bean'})",frozenset({'tomato'})
"frozenset({'chicken', 'bell pepper'})",frozenset({'carrot'})
"frozenset({'pork', 'bell pepper'})",frozenset({'carrot'})
"frozenset({'potato', 'bell pepper'})",frozenset({'carrot'})
"frozenset({'potato', 'carrot'})",frozenset({'bell pepper'})
"frozenset({'tomato', 'bell pepper'})",frozenset({'carrot'})
"frozenset({'tomato', 'carrot'})",frozenset({'bell pepper'})
"frozenset({'potato', 'tomato'})",frozenset({'bell pepper'})
